Instruction,tp
PREFETCH_EXCLUSIVE (M512),0.25
PREFETCHW (M512),0.25
"AESDEC (XMM, M128)",1.0
"AESDEC (XMM, XMM)",1.0
"AESDECLAST (XMM, M128)",1.0
"AESDECLAST (XMM, XMM)",1.0
"AESENC (XMM, M128)",1.0
"AESENC (XMM, XMM)",1.0
"AESENCLAST (XMM, M128)",1.0
"AESENCLAST (XMM, XMM)",1.0
"AESIMC (XMM, M128)",2.0
"AESIMC (XMM, XMM)",2.0
"AESKEYGENASSIST (XMM, M128, I8)",7.78
"AESKEYGENASSIST (XMM, XMM, I8)",8.46
"VADDPD (XMM, XMM, M128)",1.0
"VADDPD (XMM, XMM, XMM)",1.0
"VADDPD (YMM, YMM, M256)",1.0
"VADDPD (YMM, YMM, YMM)",1.0
"VADDPS (XMM, XMM, M128)",1.0
"VADDPS (XMM, XMM, XMM)",1.0
"VADDPS (YMM, YMM, M256)",1.0
"VADDPS (YMM, YMM, YMM)",1.0
"VADDSD (XMM, XMM, M64)",1.0
"VADDSD (XMM, XMM, XMM)",1.0
"VADDSS (XMM, XMM, M32)",1.0
"VADDSS (XMM, XMM, XMM)",1.0
"VADDSUBPD (XMM, XMM, M128)",1.0
"VADDSUBPD (XMM, XMM, XMM)",1.0
"VADDSUBPD (YMM, YMM, M256)",1.0
"VADDSUBPD (YMM, YMM, YMM)",1.0
"VADDSUBPS (XMM, XMM, M128)",1.0
"VADDSUBPS (XMM, XMM, XMM)",1.0
"VADDSUBPS (YMM, YMM, M256)",1.0
"VADDSUBPS (YMM, YMM, YMM)",1.0
"VANDNPD (XMM, XMM, M128)",1.0
"VANDNPD (XMM, XMM, XMM)",1.0
"VANDNPD (YMM, YMM, M256)",1.0
"VANDNPD (YMM, YMM, YMM)",1.0
"VANDNPS (XMM, XMM, M128)",1.0
"VANDNPS (XMM, XMM, XMM)",1.0
"VANDNPS (YMM, YMM, M256)",1.0
"VANDNPS (YMM, YMM, YMM)",1.0
"VANDPD (XMM, XMM, M128)",1.0
"VANDPD (XMM, XMM, XMM)",1.0
"VANDPD (YMM, YMM, M256)",1.0
"VANDPD (YMM, YMM, YMM)",1.0
"VANDPS (XMM, XMM, M128)",1.0
"VANDPS (XMM, XMM, XMM)",1.0
"VANDPS (YMM, YMM, M256)",1.0
"VANDPS (YMM, YMM, YMM)",1.0
"VBLENDPD (XMM, XMM, M128, I8)",0.5
"VBLENDPD (XMM, XMM, XMM, I8)",0.33
"VBLENDPD (YMM, YMM, M256, I8)",0.5
"VBLENDPD (YMM, YMM, YMM, I8)",0.33
"VBLENDPS (XMM, XMM, M128, I8)",0.5
"VBLENDPS (XMM, XMM, XMM, I8)",0.33
"VBLENDPS (YMM, YMM, M256, I8)",0.5
"VBLENDPS (YMM, YMM, YMM, I8)",0.33
"VBLENDVPD (XMM, XMM, M128, XMM)",2.0
"VBLENDVPD (XMM, XMM, XMM, XMM)",2.0
"VBLENDVPD (YMM, YMM, M256, YMM)",2.0
"VBLENDVPD (YMM, YMM, YMM, YMM)",2.0
